year,region_id,region_name,total
2025,1,Andalucía,8676713
2025,2,Aragón,1364621
2025,3,"Asturias, Principado de",1015128
2025,4,"Balears, Illes",1249844
2025,5,Canarias,2258866
2025,6,Cantabria,593623
2025,7,Castilla y León,2401221
2025,8,Castilla - La Mancha,2126378
2025,9,Cataluña,8124126
2025,10,Comunitat Valenciana,5425182
2025,11,Extremadura,1053345
2025,12,Galicia,2714741
2025,13,"Madrid, Comunidad de",7113886
2025,14,"Murcia, Región de",1586989
2025,15,"Navarra, Comunidad Foral de",683854
2025,16,País Vasco,2242343
2025,17,"Rioja, La",326803
2025,18,Ceuta,83567
2025,19,Melilla,87067
2024,1,Andalucía,8631862
2024,2,Aragón,1351591
2024,3,"Asturias, Principado de",1009599
2024,4,"Balears, Illes",1231768
2024,5,Canarias,2238754
2024,6,Cantabria,590851
2024,7,Castilla y León,2391682
2024,8,Castilla - La Mancha,2104433
2024,9,Cataluña,8012231
2024,10,Comunitat Valenciana,5319285
2024,11,Extremadura,1054681
2024,12,Galicia,2705833
2024,13,"Madrid, Comunidad de",7009268
2024,14,"Murcia, Región de",1568492
2024,15,"Navarra, Comunidad Foral de",678333
2024,16,País Vasco,2227684
2024,17,"Rioja, La",324184
2024,18,Ceuta,83179
2024,19,Melilla,85985
2023,1,Andalucía,8584147
2023,2,Aragón,1341289
2023,3,"Asturias, Principado de",1006060
2023,4,"Balears, Illes",1209906
2023,5,Canarias,2213016
2023,6,Cantabria,588387
2023,7,Castilla y León,2383703
2023,8,Castilla - La Mancha,2084086
2023,9,Cataluña,7901963
2023,10,Comunitat Valenciana,5216195
2023,11,Extremadura,1054306
2023,12,Galicia,2699424
2023,13,"Madrid, Comunidad de",6871903
2023,14,"Murcia, Región de",1551692
2023,15,"Navarra, Comunidad Foral de",672155
2023,16,País Vasco,2216302
2023,17,"Rioja, La",322282
2023,18,Ceuta,83052
2023,19,Melilla,85493
2022,1,Andalucía,8511167
2022,2,Aragón,1328215
2022,3,"Asturias, Principado de",1004960
2022,4,"Balears, Illes",1187043
2022,5,Canarias,2185607
2022,6,Cantabria,585450
2022,7,Castilla y León,2375583
2022,8,Castilla - La Mancha,2058278
2022,9,Cataluña,7761823
2022,10,Comunitat Valenciana,5108116
2022,11,Extremadura,1056808
2022,12,Galicia,2692825
2022,13,"Madrid, Comunidad de",6743254
2022,14,"Murcia, Región de",1529658
2022,15,"Navarra, Comunidad Foral de",664514
2022,16,País Vasco,2205826
2022,17,"Rioja, La",319617
2022,18,Ceuta,83051
2022,19,Melilla,84932
2021,1,Andalucía,8484804
2021,2,Aragón,1331938
2021,3,"Asturias, Principado de",1012117
2021,4,"Balears, Illes",1183415
2021,5,Canarias,2178924
2021,6,Cantabria,584708
2021,7,Castilla y León,2385223
2021,8,Castilla - La Mancha,2052505
2021,9,Cataluña,7749896
2021,10,Comunitat Valenciana,5067911
2021,11,Extremadura,1061636
2021,12,Galicia,2698177
2021,13,"Madrid, Comunidad de",6726640
2021,14,"Murcia, Región de",1518279
2021,15,"Navarra, Comunidad Foral de",662032
2021,16,País Vasco,2212628
2021,17,"Rioja, La",319444
2021,18,Ceuta,84071
2021,19,Melilla,8645
2020,1,Andalucía,8461039
2020,2,Aragón,1330592
2020,3,"Asturias, Principado de",1018053
2020,4,"Balears, Illes",1176816
2020,5,Canarias,2176240
2020,6,Cantabria,583011
2020,7,Castilla y León,2398976
2020,8,Castilla - La Mancha,2047969
2020,9,Cataluña,7720323
2020,10,Comunitat Valenciana,5046482
2020,11,Extremadura,1064970
2020,12,Galicia,2702605
2020,13,"Madrid, Comunidad de",6720310
2020,14,"Murcia, Región de",1509077
2020,15,"Navarra, Comunidad Foral de",659907
2020,16,País Vasco,2211917
2020,17,"Rioja, La",318703
2020,18,Ceuta,84502
2020,19,Melilla,86558
2019,1,Andalucía,8412222
2019,2,Aragón,1320694
2019,3,"Asturias, Principado de",1021469
2019,4,"Balears, Illes",1157928
2019,5,Canarias,2153316
2019,6,Cantabria,581989
2019,7,Castilla y León,2405568
2019,8,Castilla - La Mancha,2036777
2019,9,Cataluña,7624625
2019,10,Comunitat Valenciana,4989308
2019,11,Extremadura,1067925
2019,12,Galicia,2700210
2019,13,"Madrid, Comunidad de",6618078
2019,14,"Murcia, Región de",1491312
2019,15,"Navarra, Comunidad Foral de",652797
2019,16,País Vasco,2197306
2019,17,"Rioja, La",315967
2019,18,Ceuta,85087
2019,19,Melilla,86373
2018,1,Andalucía,8396464
2018,2,Aragón,1313493
2018,3,"Asturias, Principado de",1027091
2018,4,"Balears, Illes",1141233
2018,5,Canarias,2131581
2018,6,Cantabria,581533
2018,7,Castilla y León,2417013
2018,8,Castilla - La Mancha,2034409
2018,9,Cataluña,7539364
2018,10,Comunitat Valenciana,4958584
2018,11,Extremadura,1072721
2018,12,Galicia,2703048
2018,13,"Madrid, Comunidad de",6529923
2018,14,"Murcia, Región de",1478718
2018,15,"Navarra, Comunidad Foral de",646340
2018,16,País Vasco,2187254
2018,17,"Rioja, La",314890
2018,18,Ceuta,85327
2018,19,Melilla,86084
2017,1,Andalucía,8394017
2017,2,Aragón,1315411
2017,3,"Asturias, Principado de",1033550
2017,4,"Balears, Illes",1128492
2017,5,Canarias,2115233
2017,6,Cantabria,581421
2017,7,Castilla y León,2433535
2017,8,Castilla - La Mancha,2041422
2017,9,Cataluña,7480778
2017,10,Comunitat Valenciana,4943821
2017,11,Extremadura,1079108
2017,12,Galicia,2708955
2017,13,"Madrid, Comunidad de",6459297
2017,14,"Murcia, Región de",1475275
2017,15,"Navarra, Comunidad Foral de",642075
2017,16,País Vasco,2179944
2017,17,"Rioja, La",314136
2017,18,Ceuta,85005
2017,19,Melilla,85918
2016,1,Andalucía,8392046
2016,2,Aragón,1318042
2016,3,"Asturias, Principado de",1040407
2016,4,"Balears, Illes",1117353
2016,5,Canarias,2103436
2016,6,Cantabria,582494
2016,7,Castilla y León,2452721
2016,8,Castilla - La Mancha,2049336
2016,9,Cataluña,7440692
2016,10,Comunitat Valenciana,4939888
2016,11,Extremadura,1086153
2016,12,Galicia,2719095
2016,13,"Madrid, Comunidad de",6411466
2016,14,"Murcia, Región de",1468367
2016,15,"Navarra, Comunidad Foral de",638922
2016,16,País Vasco,2174426
2016,17,"Rioja, La",314025
2016,18,Ceuta,84558
2016,19,Melilla,85457
2015,1,Andalucía,8388994
2015,2,Aragón,1325600
2015,3,"Asturias, Principado de",1049328
2015,4,"Balears, Illes",1111002
2015,5,Canarias,2101319
2015,6,Cantabria,585184
2015,7,Castilla y León,2475697
2015,8,Castilla - La Mancha,2062615
2015,9,Cataluña,7420890
2015,10,Comunitat Valenciana,4945092
2015,11,Extremadura,1092217
2015,12,Galicia,2732801
2015,13,"Madrid, Comunidad de",6375737
2015,14,"Murcia, Región de",1465195
2015,15,"Navarra, Comunidad Foral de",637317
2015,16,País Vasco,2172707
2015,17,"Rioja, La",314457
2015,18,Ceuta,84561
2015,19,Melilla,85009
2014,1,Andalucía,8381239
2014,2,Aragón,1330713
2014,3,"Asturias, Principado de",1058560
2014,4,"Balears, Illes",1106617
2014,5,Canarias,2098155
2014,6,Cantabria,587491
2014,7,Castilla y León,2493604
2014,8,Castilla - La Mancha,2074760
2014,9,Cataluña,7432833
2014,10,Comunitat Valenciana,4960213
2014,11,Extremadura,1096708
2014,12,Galicia,2745817
2014,13,"Madrid, Comunidad de",6372553
2014,14,"Murcia, Región de",1462734
2014,15,"Navarra, Comunidad Foral de",637099
2014,16,País Vasco,2172247
2014,17,"Rioja, La",315736
2014,18,Ceuta,84562
2014,19,Melilla,84103
2013,1,Andalucía,8387986
2013,2,Aragón,1337675
2013,3,"Asturias, Principado de",1067425
2013,4,"Balears, Illes",1105131
2013,5,Canarias,2096336
2013,6,Cantabria,589789
2013,7,Castilla y León,2516927
2013,8,Castilla - La Mancha,2093474
2013,9,Cataluña,7488664
2013,10,Comunitat Valenciana,4988365
2013,11,Extremadura,1101024
2013,12,Galicia,2760720
2013,13,"Madrid, Comunidad de",6411525
2013,14,"Murcia, Región de",1462271
2013,15,"Navarra, Comunidad Foral de",639089
2013,16,País Vasco,2179274
2013,17,"Rioja, La",318819
2013,18,Ceuta,84487
2013,19,Melilla,83669
2012,1,Andalucía,8377809
2012,2,Aragón,1343790
2012,3,"Asturias, Principado de",1074304
2012,4,"Balears, Illes",1100715
2012,5,Canarias,2085928
2012,6,Cantabria,592387
2012,7,Castilla y León,2537654
2012,8,Castilla - La Mancha,2105936
2012,9,Cataluña,7514992
2012,10,Comunitat Valenciana,5009647
2012,11,Extremadura,1104343
2012,12,Galicia,2771916
2012,13,"Madrid, Comunidad de",6425573
2012,14,"Murcia, Región de",1461928
